event_id,user_id,event_timestamp,event_type,page_url,session_id,region
evt000001,999,2023-08-14 00:00:00,click,/checkout,session_1103,east
evt000002,716,2023-12-22 00:00:00,login,/home,session_2625,north
evt000003,735,2024-04-28 00:00:00,pageview,/products,session_4127,west
evt000004,320,2024-12-10 00:00:00,search,/home,session_1637,south
evt000005,181,2024-05-31 00:00:00,login,/profile,session_1662,north
evt000006,762,2024-02-09 00:00:00,login,/profile,session_4404,west
evt000007,314,2024-07-29 00:00:00,search,/home,session_1391,south
evt000008,109,2024-03-22 00:00:00,add_to_cart,/profile,session_3583,north
evt000009,539,2023-10-26 00:00:00,add_to_cart,/cart,session_930,east
evt000010,57,2024-03-11 00:00:00,pageview,/products,session_3217,south
evt000011,14,2024-04-03 00:00:00,purchase,/profile,session_3017,south
evt000012,45,2023-05-10 00:00:00,purchase,/profile,session_608,east
evt000013,244,2023-11-01 00:00:00,purchase,/profile,session_507,west
evt000014,163,2023-01-12 00:00:00,add_to_cart,/cart,session_1286,south
evt000015,589,2023-01-13 00:00:00,purchase,/products,session_565,west
evt000016,727,2023-09-21 00:00:00,search,/cart,session_4784,north
evt000017,499,2024-10-16 00:00:00,click,/profile,session_4999,east
evt000018,565,2024-02-22 00:00:00,click,/profile,session_766,east
evt000019,397,2023-06-12 00:00:00,login,/cart,session_4834,west
evt000020,249,2024-02-12 00:00:00,click,/profile,session_1269,south
evt000021,532,2024-01-05 00:00:00,add_to_cart,/profile,session_991,west
evt000022,154,2024-12-18 00:00:00,pageview,/cart,session_1448,south
evt000023,830,2023-05-28 00:00:00,add_to_cart,/home,session_2438,east
evt000024,412,2024-12-31 00:00:00,purchase,/home,session_4052,east
evt000025,545,2024-02-05 00:00:00,add_to_cart,/products,session_4108,west
evt000026,182,2024-02-08 00:00:00,click,/products,session_4192,south
evt000027,880,2023-09-21 00:00:00,pageview,/checkout,session_1021,south
evt000028,648,2023-07-23 00:00:00,search,/checkout,session_3827,west
evt000029,401,2024-09-08 00:00:00,click,/profile,session_4654,east
evt000030,6,2023-12-04 00:00:00,add_to_cart,/home,session_1598,west
evt000031,604,2024-03-10 00:00:00,pageview,/products,session_1942,east
evt000032,284,2023-08-02 00:00:00,add_to_cart,/products,session_135,west
evt000033,874,2023-11-01 00:00:00,purchase,/checkout,session_1099,north
evt000034,872,2024-11-07 00:00:00,add_to_cart,/home,session_141,west
evt000035,807,2024-08-26 00:00:00,search,/cart,session_3882,west
evt000036,83,2023-04-16 00:00:00,purchase,/checkout,session_2235,west
evt000037,294,2024-03-04 00:00:00,login,/checkout,session_167,south
evt000038,7,2024-11-06 00:00:00,add_to_cart,/checkout,session_3645,east
evt000039,84,2024-08-14 00:00:00,purchase,/cart,session_4471,north
evt000040,445,2024-11-16 00:00:00,search,/profile,session_1128,west
evt000041,314,2024-05-17 00:00:00,pageview,/home,session_2666,south
evt000042,281,2023-06-10 00:00:00,pageview,/checkout,session_4754,south
evt000043,675,2024-06-05 00:00:00,click,/checkout,session_1360,west
evt000044,840,2024-06-22 00:00:00,purchase,/profile,session_21,east
evt000045,857,2023-03-24 00:00:00,login,/cart,session_471,east
evt000046,702,2023-05-26 00:00:00,login,/checkout,session_1575,south
evt000047,159,2024-03-10 00:00:00,search,/profile,session_2023,south
evt000048,458,2023-09-24 00:00:00,add_to_cart,/products,session_4560,north
evt000049,87,2024-02-16 00:00:00,add_to_cart,/cart,session_390,west
evt000050,856,2023-10-27 00:00:00,add_to_cart,/cart,session_3351,south
evt000051,45,2023-03-27 00:00:00,pageview,/products,session_4221,east
evt000052,141,2024-10-28 00:00:00,search,/products,session_1852,west
evt000053,842,2024-10-22 00:00:00,search,/cart,session_1147,east
evt000054,744,2024-09-21 00:00:00,click,/home,session_1577,south
evt000055,536,2023-08-18 00:00:00,pageview,/profile,session_4391,west
evt000056,751,2024-10-02 00:00:00,click,/products,session_4137,west
evt000057,506,2024-02-22 00:00:00,pageview,/home,session_133,north
evt000058,340,2023-07-01 00:00:00,search,/checkout,session_3225,east
evt000059,595,2024-08-06 00:00:00,search,/profile,session_2044,east
evt000060,252,2023-05-08 00:00:00,login,/cart,session_574,east
evt000061,810,2023-01-22 00:00:00,add_to_cart,/profile,session_2610,west
evt000062,319,2024-04-07 00:00:00,login,/home,session_196,east
evt000063,880,2024-11-24 00:00:00,click,/checkout,session_2798,south
