order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,status,region,salesperson_id
1,661,27,2023-08-13,8,320.17,2561.36,delivered,east,1
2,420,85,2024-06-30,2,347.05,694.1,pending,west,7
3,819,84,2023-05-02,1,135.58,135.58,delivered,south,9
4,600,183,2023-10-19,1,484.33,484.33,returned,east,15
5,587,184,2024-11-20,5,23.62,118.1,pending,east,4
6,459,1,2024-01-14,9,118.59,1067.31,cancelled,west,12
7,208,20,2024-02-05,10,296.07,2960.7,returned,north,4
8,396,118,2023-03-21,1,295.64,295.64,cancelled,south,4
9,173,141,2024-06-26,6,190.85,1145.1,pending,west,3
10,707,17,2024-05-21,3,384.38,1153.14,returned,south,15
11,917,19,2023-03-16,5,106.14,530.7,cancelled,east,12
12,685,85,2024-06-04,6,347.05,2082.3,shipped,west,6
13,411,189,2024-04-25,1,290.46,290.46,shipped,north,15
14,1,1,2023-02-14,5,118.59,592.95,delivered,south,17
15,822,90,2024-03-15,10,284.91,2849.1,pending,north,5
16,973,185,2024-06-20,5,391.66,1958.3,returned,north,19
17,595,41,2023-09-08,7,63.85,446.95,pending,east,5
18,188,15,2024-01-15,10,85.78,857.8,pending,west,5
19,32,98,2024-07-06,8,136.37,1090.96,delivered,west,17
20,484,196,2024-10-13,2,83.51,167.02,cancelled,south,3
21,698,62,2023-12-08,5,60.04,300.2,cancelled,north,5
22,925,139,2023-09-27,6,292.46,1754.76,shipped,west,1
23,852,58,2023-03-21,10,366.97,3669.7,pending,south,10
24,285,19,2023-11-23,3,106.14,318.42,cancelled,north,7
25,554,76,2023-04-24,6,73.83,442.98,pending,south,8
26,970,4,2024-07-02,3,22.21,66.63,delivered,south,4
27,82,137,2024-12-24,4,372.41,1489.64,pending,west,7
28,433,120,2023-09-27,3,276.88,830.64,delivered,south,3
29,671,146,2023-02-07,7,125.41,877.87,shipped,south,20
30,55,64,2023-10-10,7,308.24,2157.68,cancelled,west,10
31,547,20,2024-07-21,6,296.07,1776.42,returned,south,13
32,396,198,2024-09-11,8,368.18,2945.44,cancelled,south,16
33,387,129,2023-05-27,3,408.98,1226.94,returned,south,9
34,551,129,2023-04-02,2,408.98,817.96,pending,west,7
35,585,108,2023-01-29,9,95.49,859.41,returned,south,2
36,144,91,2023-12-29,3,464.08,1392.24,shipped,north,13
37,638,141,2024-01-09,10,190.85,1908.5,delivered,west,12
38,744,180,2023-06-01,2,332.71,665.42,delivered,south,3
39,605,119,2023-01-11,1,192.27,192.27,pending,west,14
40,245,54,2024-10-24,2,281.09,562.18,cancelled,east,1
41,360,85,2024-03-15,2,347.05,694.1,cancelled,south,3
42,419,70,2024-12-23,9,442.97,3986.73,pending,west,3
43,897,119,2023-04-26,5,192.27,961.35,shipped,east,16
44,383,150,2023-02-15,7,172.99,1210.93,cancelled,east,12
45,341,13,2023-03-12,9,353.16,3178.44,returned,east,8
46,312,41,2024-08-20,8,63.85,510.8,pending,south,10
47,817,196,2024-11-29,7,83.51,584.57,delivered,south,14
48,355,180,2024-06-17,2,332.71,665.42,cancelled,west,3
49,194,189,2023-06-08,1,290.46,290.46,returned,west,7
50,575,98,2023-04-13,3,136.37,409.11,shipped,west,18
51,495,130,2023-06-16,2,36.43,72.86,delivered,west,19
52,531,163,2024-06-26,4,224.78,899.12,pending,east,5
53,235,115,2024-10-15,6,150.91,905.46,pending,east,10
54,136,76,2024-01-01,4,73.83,295.32,pending,east,7
55,327,75,2024-10-27,9,222.83,2005.47,delivered,east,3
56,23,13,2023-11-09,2,353.16,706.32,pending,south,13
57,652,112,2024-12-18,7,13.77,96.39,cancelled,north,10
58,102,179,2023-11-26,3,302.23,906.69,cancelled,west,15
59,105,139,2024-01-28,9,292.46,2632.14,returned,south,8
60,448,18,2023-01-23,7,371.67,2601.69,delivered,south,19
61,86,104,2023-12-23,1,339.7,339.7,cancelled,west,20
62,776,8,2023-11-26,2,51.7,103.4,delivered,west,17
63,312,120,2023-11-21,8,276.88,2215.04,returned,south,18
64,819,7,2023-11-05,8,419.41,3355.28,cancelled,south,17
65,699,46,2024-06-10,10,92.02,920.2,returned,north,2
66,539,127,2023-06-14,3,456.66,1369.98,delivered,east,20
67,680,83,2024-01-31,7,127.24,890.68,delivered,north,19
68,244,98,2024-05-09,3,136.37,409.11,cancelled,west,19
69,532,159,2023-09-23,1,315.25,315.25,pending,west,4
70,213,45,2024-11-29,9,361.8,3256.2,cancelled,north,10
