transaction_id,order_id,customer_id,transaction_date,transaction_type,amount,payment_method,merchant
txn000001,1311,225,2024-04-27 00:00:00,exchange,1447.51,google_pay,Walmart
txn000002,1129,938,2024-05-07 00:00:00,exchange,1117.22,apple_pay,Walmart
txn000003,4933,386,2024-12-25 00:00:00,refund,644.89,paypal,Walmart
txn000004,87,41,2024-07-01 00:00:00,refund,1956.6,paypal,Target
txn000005,771,382,2023-08-08 00:00:00,exchange,4543.55,paypal,Amazon
txn000006,1192,562,2024-01-05 00:00:00,exchange,399.59,debit_card,Amazon
txn000007,2336,727,2024-12-29 00:00:00,refund,327.66,apple_pay,Target
txn000008,4113,487,2024-04-03 00:00:00,purchase,662.81,paypal,Best Buy
txn000009,2899,70,2024-03-30 00:00:00,exchange,1003.23,debit_card,Walmart
txn000010,4053,510,2024-12-18 00:00:00,refund,838.0,debit_card,eBay
txn000011,1761,468,2023-04-30 00:00:00,refund,2000.1,paypal,eBay
txn000012,437,570,2024-12-17 00:00:00,exchange,1050.14,apple_pay,Best Buy
txn000013,4357,721,2024-12-02 00:00:00,exchange,4413.37,google_pay,Walmart
txn000014,2615,533,2024-12-27 00:00:00,refund,309.44,debit_card,Best Buy
txn000015,867,217,2024-09-18 00:00:00,exchange,257.6,google_pay,Amazon
txn000016,1529,580,2024-07-02 00:00:00,refund,1870.28,google_pay,eBay
txn000017,3717,628,2024-07-29 00:00:00,purchase,1458.14,apple_pay,eBay
txn000018,2180,94,2023-06-17 00:00:00,exchange,4177.44,paypal,Target
txn000019,3368,473,2024-11-11 00:00:00,exchange,775.58,apple_pay,Best Buy
txn000020,300,966,2024-04-26 00:00:00,purchase,479.02,google_pay,Amazon
txn000021,4351,901,2024-01-15 00:00:00,purchase,37.23,debit_card,Best Buy
txn000022,56,23,2024-10-13 00:00:00,purchase,576.35,credit_card,eBay
txn000023,4967,120,2024-12-24 00:00:00,refund,162.02,debit_card,Walmart
txn000024,2982,369,2024-10-24 00:00:00,exchange,3734.27,apple_pay,Walmart
txn000025,1606,458,2024-12-29 00:00:00,exchange,2277.48,debit_card,Target
txn000026,1456,958,2024-10-10 00:00:00,purchase,1476.87,credit_card,Target
